T(align.chunk),T(align.chunk.lemm),T(term),S(term),source,class
_PRO_isti _N_duh,_PRO_isti _N_duh,_PRO_isti _N_duh,_NOUN_spirit,0,0
_A_pomorski _N_bitak,_A_pomorski _N_bitak,_A_pomorski _N_bitak,_NOUN_naval_NOUN_battle,1,1
_N_sistem _N_obrazovanje,_N_sistem _N_obrazovanje a,_N_sistem _N_obrazovanje,_NOUN_education_NOUN_system,1,1
_A_semantički _N_veb _PREF_i,_A_semantički _N_veb,_A_semantički _N_veb,_ADJ_semantic_NOUN_web,0,1
_A_primaran _N_značenje,_A_primaran _N_značenje,_A_primaran _N_značenje,_NOUN_main_NOUN_entry,0,0
_A_pojedinačan _N_korisnik,_A_pojedinačan _N_korisnik,_A_pojedinačan _N_korisnik,_NOUN_unique_NOUN_user,0,0
_V_biti _N_tema _A_nov,_V_biti _N_tema _A_nov,_A_nov _N_tema,_ADJ_topic,0,0
_N_pozajmica _N_dokument,_N_pozajmica _N_dokument,_N_pozajmica _N_dokument,_NOUN_document_NOUN_supply,0,0
_A_elektronski _N_tekst,_A_elektronski _N_tekst _PREF_na,_A_elektronski _N_tekst,_ADJ_digital_NOUN_text,1,0
_PRO_ona _A_slovački _A_nacionalan _N_korpus,_A_slovački _A_nacionalan _N_korpus,_A_slovački _A_nacionalan _N_korpus,_NOUN_slovak_ADJ_national_NOUN_corpus,1,1
_N_lom _N_šema,_N_lom _N_šema,_N_lom _N_šema,_NOUN_lom_NOUN_schema,1,1
_A_elektronski _N_korpus,_PREF_i _A_elektronski _N_korpus _PREF_u,_A_elektronski _N_korpus,_ADJ_electronic_NOUN_corpus,1,1
_PREF_iz _PRO_svoj _A_privatan _N_kolekcija,ili _A_privatan _N_kolekcija,_A_privatan _N_kolekcija,_ADJ_private_NOUN_collection,0,1
_N_kopija _N_tekst _N_sporazum,_N_kopija _N_tekst _N_sporazum,_N_kopija _N_tekst _N_sporazum,_NOUN_copy,0,0
_A_engleski _N_jezik _PREF_su,_A_engleski _N_jezik,_PRO_sam _A_engleski _N_jezik,_ADJ_english_NOUN_language,1,0
_A_drugi _N_institucija _V_dati,_A_drugi _N_institucija,_A_drugi _N_institucija,_NOUN_agency,0,0
_A_rad _A_drugi,_A_rad _A_drugi,_A_drugi _A_rad,_NOUN_contribution,0,0
uml _N_model sa,_PRO_ona uml _N_model,uml _N_model,_NOUN_uml_NOUN_model,1,1
_N_sistem _N_cirkulacija,_N_sistem _N_cirkulacija,_N_sistem _N_cirkulacija,_NOUN_circulation_NOUN_system,0,1
_A_mašinski _N_fakultet,_A_mašinski _N_fakultet,_A_mašinski _N_fakultet,_NOUN_faculty_ADP_of_ADJ_mechanical_NOUN_engineering,1,1
_A_slobodan _N_pristup,_PREF_i _A_slobodan _N_pristup,_A_slobodan _N_pristup,_ADJ_free_NOUN_access,1,1
_PREF_i _A_informacioni _N_nauk,_A_informacioni _N_nauk _PREF_na,_A_informacioni _N_nauk,_NOUN_information_NOUN_science,1,1
_PREF_i _N_obrada _N_informacija,_PREF_i _N_obrada _N_informacija,_N_obrada _N_informacija,_NOUN_information_NOUN_processing,0,1
hier _N_korpus,hier _N_korpus,hier _N_korpus,_ADJ_ebarthier_NOUN_corpus,1,0
kao _A_potencijalan _N_korisnik,_A_potencijalan _N_korisnik,_A_potencijalan _N_korisnik,_ADJ_potential_NOUN_user,0,1
_A_istraživački _N_metodologija,_A_istraživački _N_metodologija,_A_istraživački _N_metodologija,_NOUN_methodology_ADP_of_NOUN_research,1,1
and van,and van,and van,_NOUN_van,0,0
_N_interfejs _PREF_i _A_drugi,_N_interfejs _PREF_i _A_drugi,_A_drugi _N_interfejs,_NOUN_interface,0,0
_A_jezički _N_model,_A_jezički _N_model _PRO_ona,_A_jezički _N_model,_NOUN_language_NOUN_model,1,1
sa _A_svakodnevan _N_posao,_A_svakodnevan _V_posati _PRO_sebe,_A_svakodnevan _V_posati,_NOUN_everyday_NOUN_work,1,1
sa _N_veb _N_stranica _N_projekt,_N_veb _N_stranica _N_projekt,_N_veb _N_stranica _N_projekt,_NOUN_project_NOUN_web_NOUN_site,1,1
_PREF_za _N_postupak _N_evaluacija,_PREF_za _N_postupak _N_evaluacija,_N_postupak _N_evaluacija,_NOUN_evaluation,0,0
_N_godina _N_stupanje _PREF_na,_N_godina _N_stupanje _PREF_na,_N_godina _N_stupanje,_NOUN_act,0,0
_A_digitalan _N_rečnik _N_govor,_A_digitalan _N_rečnik _N_govor,_A_digitalan _N_rečnik _N_govor,_ADJ_digital_NOUN_dictionary,1,0
_A_drugi _N_biblioteka _N_dokument,_A_drugi _N_biblioteka _N_dokument,_A_drugi _N_biblioteka _N_dokument,_NOUN_document_NOUN_library,1,0
_A_pojedini _N_veb,_A_pojedini _N_veb,_A_pojedini _N_veb,_NOUN_search,0,0
_A_centralni _N_institut,_A_centralni _N_institut _PREF_za,_A_centralni _N_institut,_ADJ_central_NOUN_institute,1,1
_PREF_za _A_pojedinačan _N_odrednica,_A_pojedinačan _N_odrednica,_A_pojedinačan _N_odrednica,_ADJ_individual_NOUN_entry,0,1
_PREF_i _N_departman _A_računarski _N_nauk,_PREF_i _N_departman _A_računarski _N_nauk,_N_departman _PREF_za _A_računarski _N_nauk,_NOUN_department_ADP_of_NOUN_computer_NOUN_science,1,1
_N_ime _N_datoteka,_N_ime _N_datoteka,_N_datoteka _PREF_za _N_ime,_NOUN_file_VERB_name,0,0
_N_prikaz _A_drvolik _N_struktura,_N_prikaz _A_drvolik _N_struktura,_N_prikaz _A_drvolik _N_struktura,_ADJ_tree-like_NOUN_structure,1,0
_A_pravni _N_status _A_digitalan _N_objekt,_A_pravni _N_status _A_digitalan _N_objekt _PREF_i,_A_pravni _N_status _A_digitalan _N_objekt,_ADJ_digital_NOUN_object,1,0
_A_centralni _N_sistem,_A_centralni _N_sistem,_A_centralni _N_sistem,_ADJ_central_NOUN_authentication_NOUN_system,1,0
_A_opšti _N_informacija,_A_opšti _N_informacija,_A_opšti _N_informacija,_ADJ_general_NOUN_information,0,1
_A_administrativan _N_osoblje _A_nastavni,_A_administrativan _N_osoblje _A_nastavni,_A_administrativan _N_osoblje _A_nastavni _N_osoblje,_NOUN_administration,0,0
_A_kvantitativan _N_pristup,_A_kvantitativan _N_pristup,_A_kvantitativan _N_pristup,_ADJ_quantitative_NOUN_approach,1,1
_A_javan _N_mišljenje _PREF_u,_A_javan _N_mišljenje,_A_javan _N_mišljenje,_ADJ_public_NOUN_opinion,1,1
_N_ministarstvo _PREF_za _N_nauk,_N_ministarstvo _N_nauk _PREF_i,_N_ministarstvo _PREF_za _N_nauk,_NOUN_ministry_ADP_of_NOUN_science,1,1
_N_biblioteka _PREF_na _N_brod,_N_biblioteka _PREF_na _N_brod,_N_biblioteka _PREF_na _N_brod,_ADP_boat_ADJ_library,1,1
_A_mirovni _N_konferencija _PREF_i,_A_mirovni _N_konferencija,_A_mirovni _N_konferencija,_NOUN_peace_NOUN_conference,1,1
_N_distribucija _N_informacija kroz,_N_distribucija _N_informacija kroz,_N_distribucija _N_informacija,_NOUN_dissemination_ADP_of_NOUN_information,1,1
_N_format _A_elektronski _N_izvor,_N_format _A_elektronski _N_izvor,_N_format _A_elektronski _N_izvor,_ADJ_electronic_NOUN_resource,1,0
_A_jedinstven _N_sumeđa,kroz _A_jedinstven _N_sumeđa,_A_jedinstven _N_sumeđa,_ADJ_single_NOUN_interface,1,1
_A_globalan _N_saradnja,_A_globalan _N_saradnja,_A_globalan _N_saradnja,_ADJ_global_NOUN_cooperation,1,1
_A_radijski _N_materijal,_A_radijski _N_materijal,_A_radijski _N_materijal,_NOUN_radio_NOUN_material,1,1
_V_zahtevati _N_korisnik,_N_zahtev _N_korisnik _V_dati,_N_zahtev _N_korisnik,_NOUN_user_PRT_'s_NOUN_request,1,1
_A_informatički _N_objekt,_A_informatički _N_objekt,_A_informatički _N_objekt,_NOUN_information_VERB_object,0,1
_A_vlastit _N_ime _PREF_u,_A_vlastit _N_ime,_A_vlastit _N_ime,_ADJ_personal_NOUN_name,0,0
_N_osoblje _N_fakultet,_N_osoblje _N_fakultet _PREF_na,_N_osoblje _N_fakultet,_NOUN_faculty_NOUN_staff,1,1
_A_javan _N_služba,_PREF_i _A_javan _N_služba,_A_javan _N_služba,_ADJ_public_NOUN_service,1,1
_N_servis _N_univerzitet _PREF_u,_N_servis _N_univerzitet _PREF_u,_N_servis _PREF_na _N_univerzitet,_NOUN_university_NOUN_service,1,1
_A_međunarodan _N_savez _A_geološki _N_nauk,_A_međunarodan _N_savez _A_geološki _N_nauk,_A_međunarodan _N_savez _A_geološki _N_nauk,_ADJ_international_NOUN_union_ADP_of_ADJ_geological_NOUN_science,1,1
_A_građevinski _N_rad _PREF_i,_A_građevinski _A_rad,_A_građevinski _A_rad,_NOUN_construction_NOUN_work,1,1
_A_tekstualan _N_materijal,_A_tekstualan _N_materijal _V_dati _V_biti,_A_tekstualan _N_materijal,_ADJ_textual_NOUN_material,1,1
_PREF_za _N_sloboda _N_informisanje _PREF_i,_PREF_za _N_sloboda _N_informisanje _PREF_i _V_dati,_N_sloboda _N_informisanje,_NOUN_freedom_ADP_of_NOUN_information,0,1
_A_bibliotečki _N_usluga,_A_bibliotečki _N_usluga,_A_bibliotečki _N_usluga,_ADJ_librarian_NOUN_service,1,1
_A_istraživački _N_znanje,_A_istraživački _N_znanje,_A_istraživački _N_znanje,_NOUN_research_NOUN_knowledge,1,1
_N_aplikacija _PREF_za _N_obrada _N_jezik,_N_aplikacija _PREF_za _N_obrada _N_jezik _PRO_ona,_N_aplikacija _PREF_za _N_obrada _N_jezik,_NOUN_language_NOUN_processing_NOUN_application,1,1
_PREF_i _V_razmeniti _N_informacija,_PREF_i _N_razmena _N_informacija,_N_informacija kroz _N_razmena,_NOUN_exchange_ADP_of_NOUN_information,1,1
_A_formalan _N_sadržaj,_A_formalan _N_sadržaj,_A_formalan _N_sadržaj,_ADJ_formal_NOUN_content,1,1
_A_matematički _N_notacija,_A_matematički _N_notacija,_A_matematički _N_notacija,_ADJ_mathematical_NOUN_notation,0,1
_A_igran _N_film _PREF_na,_A_igran _N_film,_A_igran _N_film,_NOUN_film,0,1
_PREF_i _N_posedovanje _N_softver _PREF_za,_PREF_i _N_posedovanje _N_softver,_N_posedovanje _N_softver,_NOUN_software,0,0
_N_učenje _N_jezik,_N_jezik _PREF_za _N_učenje,_N_učenje _N_jezik,_NOUN_language_NOUN_learning,1,1
_A_tehnički _N_sprovođenje _N_projekt,_A_tehnički _N_sprovođenje _N_projekt,_A_tehnički _N_sprovođenje _N_projekt,_ADJ_technical_NOUN_support,1,0
_N_ministarstvo _PREF_za _N_telekomunikacija,_N_ministarstvo _PREF_za _N_telekomunikacija _PREF_i,_N_ministarstvo _PREF_za _N_telekomunikacija,_NOUN_ministry_ADP_for_NOUN_telecommunication,1,1
morfosintaksičkoj _N_anotacija,morfosintaksičkoj _N_anotacija,morfosintaksičkoj _N_anotacija,_ADJ_morphosyntactic_NOUN_annotation,1,1
_A_citatni _N_baza _N_podatak,_A_citatni _V_bazati _N_podatak,_PRO_sam _A_citatni _V_bazati _N_podatak,_NOUN_citation_NOUN_database,1,0
_A_opšti _N_princip,_A_opšti _N_princip,_A_opšti _N_princip,_ADJ_general_NOUN_principle,1,1
_PREF_i _A_ostali _A_društven _N_institucija,_PREF_i _A_ostali _A_društven _N_institucija,_A_ostali _A_društven _N_institucija,_ADJ_social_NOUN_institution,1,0
_N_metoda _A_mašinski _N_učenje _PREF_uz,_N_metod _A_mašinski _N_učenje,_N_metod _A_mašinski _N_učenje,_NOUN_machine_NOUN_learning_NOUN_method,1,1
_A_grupni _N_projekt,_A_grupni _N_projekt,_A_grupni _N_projekt,_NOUN_group_VERB_project,1,1
_A_ličan _N_ime _PREF_i,_A_ličan _N_ime _PREF_i,_A_ličan _N_ime _N_ime,_NOUN_forename,0,0
_N_dobavljač _V_bazati _N_podatak,_N_dobavljač _V_bazati _N_podatak,_N_dobavljač _V_bazati _N_podatak,_NOUN_database_NOUN_vendor,0,0
_V_dati _N_slika _PREF_i _A_drugi,_V_dati _V_slikati _PREF_i _A_drugi,_A_drugi _V_slikati,_NOUN_image,0,0
_A_srpski _N_vlast,_A_srpski _N_vlast _V_dati,_A_srpski _N_vlast,_ADJ_serbian_NOUN_official,1,1
_PREF_i _V_obraditi _N_podatak,_PREF_i _N_obrada _N_podatak,_N_obrada _N_podatak,_NOUN_data_VERB_processing,1,1
_PRO_sebe _PREF_na _A_drugi _A_stran,_PREF_na _A_drugi _A_stran,_A_drugi _A_stran,_NOUN_classification,0,0
_N_koncept _A_mrežni _N_nivo _N_servis,_N_koncept _A_mrežni _N_nivo _N_servis _PRO_ona,_N_koncept _A_mrežni _N_nivo _N_servis,_NOUN_concept_ADP_of_NOUN_webscale,1,0
_A_sekundaran _N_izvor,_A_sekundaran _N_izvor,_A_sekundaran _N_izvor,_ADJ_secondary_NOUN_source,0,1
_A_ulazni _N_korpus,_A_ulazni _N_korpus,_A_ulazni _N_korpus,_NOUN_input_NOUN_corpus,1,1
_N_značenje _A_određen _N_termin,_N_značenje _A_određen _N_termin kao _PREF_i,_N_značenje _A_određen _N_termin,_VERB_meaning_ADP_of_ADJ_certain_NOUN_term,1,1
_A_knjižni _N_fond,_A_knjižni _N_fond,_A_knjižni _N_fond,_NOUN_library_VERB_holding,1,1
_N_mreža _N_biblioteka,_N_mreža _PREF_u _N_biblioteka,_N_biblioteka _PREF_u _N_mreža,_NOUN_library_NOUN_network,0,1
_N_greška _N_program,_PRO_ona _V_biti _N_greška _N_program,_N_greška _PREF_u _N_program,_NOUN_program_NOUN_error,0,1
_PREF_i _N_prečišćavanje _N_tekst _PREF_u _N_okvir,_N_prečišćavanje _N_tekst _PREF_u _N_okvir,_N_prečišćavanje _N_tekst _PREF_u _N_okvir,_NOUN_quality_VERB_assessment,1,0
_N_institut _PREF_za _A_nuklearni _N_nauk,_N_institut _PREF_za _A_nuklearni _N_nauk,_N_institut _PREF_za _A_nuklearni _N_nauk,_NOUN_institute_ADP_for_ADJ_nuclear_NOUN_science,1,1
_A_elektronski _V_bazati _N_podatak,_V_bazati _N_podatak _A_elektronski,_A_elektronski _V_bazati _N_podatak,_ADJ_electronic_NOUN_database,1,1
_PRO_ona _A_raspoloživ _PREF_pod _N_uslov,_PRO_ona _A_raspoloživ _PREF_pod _N_uslov,_A_raspoloživ _PREF_pod _N_uslov,_ADJ_available,0,0
_N_ministar _N_obrazovanje,_N_ministar _PREF_za _N_obrazovanje,_N_ministar _N_obrazovanje,_NOUN_minister_ADP_of_NOUN_education,1,1
_A_virtuelan _N_biblioteka,_A_virtuelan _N_biblioteka,_A_virtuelan _N_biblioteka,_ADJ_virtual_NOUN_library,0,1
_N_tehnologija _N_veb,_N_veb _N_tehnologija,_N_tehnologija _PREF_na _N_veb,_NOUN_web_NOUN_technology,1,1
_A_poljski _N_resurs _PREF_i,_A_poljski _N_resurs,_A_poljski _N_resurs,_ADJ_polish_NOUN_resource,1,1
_N_vid _N_piraterija,_N_vid _N_piraterija,_N_vid _N_piraterija,_NOUN_type_ADP_of_NOUN_piracy,1,1
_PREF_i _N_softver _A_otvoren _N_kod,_PREF_i _N_softver _A_otvoren _N_kod,_N_softver _A_otvoren _N_kod,_ADJ_open_NOUN_source,1,0
_PRO_sebe _N_milion _N_dolar,_PREF_na _N_milion _N_dolar,_N_milion _N_dolar,_NOUN_million_ADP_of_NOUN_dollar,1,1
_N_godina _PREF_uz _A_finansijski _N_podrška,_N_godina _PREF_uz _A_finansijski _N_podrška,_N_godina _PREF_uz _A_finansijski _N_podrška,_ADJ_financial_NOUN_support,1,0
_A_ponovan _V_upotrebiti _PREF_i,_PREF_i _A_ponovan _N_upotreba,_A_ponovan _N_upotreba,_NOUN_reuse,0,1
_A_digitalan _N_izvor,_A_digitalan _N_izvor,_A_digitalan _N_izvor,_ADJ_digital_NOUN_resource,1,1
_A_ulazni _N_podatak,_A_ulazni _N_podatak,_A_ulazni _N_podatak,_NOUN_input_NOUN_vector,1,0
_A_serijski _N_publikacija _PREF_i,_A_serijski _N_publikacija,_A_serijski _N_publikacija,_ADJ_serial,0,1
_N_služba _N_bibliotekar,_PREF_u _N_služba _N_bibliotekar,_N_služba _N_bibliotekar,_ADJ_librarian_NOUN_service,1,0
_A_istraživački _N_institucija _PREF_u,_A_istraživački _N_institucija _PREF_u,_A_istraživački _N_institucija,_NOUN_research_NOUN_institution,1,1
_A_multimedijalan _V_bazati _N_podatak,_A_multimedijalan _V_bazati _N_podatak,_A_multimedijalan _V_bazati _N_podatak,_NOUN_multimedia_VERB_database,1,1
ili _V_biti _PRO_koji _A_drugi _V_vrstati,_V_biti _PRO_koji _A_drugi _V_vrstati,_A_drugi _V_vrstati,_NOUN_type,0,0
_PREF_u _N_okvir _N_sistem,_N_okvir _N_sistem,_N_okvir _N_sistem,_NOUN_framework,0,0
ili _A_predmetni _N_specijalist,ili _A_predmetni _N_specijalist,_A_predmetni _N_specijalist,_NOUN_subject_NOUN_specialist,0,1
_N_većina _A_jezički _N_par,_N_većina _A_jezički _N_par,_N_većina _A_jezički _N_par,_NOUN_language_NOUN_pair,1,0
_N_internet _N_servis,_PREF_i _N_internet _N_servis,_N_internet _N_servis,_NOUN_internet_NOUN_service,1,1
_N_institut _A_informacijski _N_znanost _PRO_koji,_N_institut _A_informacijski _N_znanost,_N_institut _A_informacijski _N_znanost,_NOUN_information_NOUN_science,0,0
_N_algoritam _PREF_za konflaciju,_N_algoritam _PREF_za konflaciju,_N_algoritam _PREF_za konflaciju,_NOUN_algorithm_ADP_for_NOUN_conflation,1,1
_PREF_i _A_naučni _V_baštiniti _PRO_koji _PRO_sebe,_A_naučni _N_baština,_A_naučni _N_baština,_ADJ_scientific_NOUN_heritage,1,1
_N_ugovor _PREF_o _N_licenciranje,_N_ugovor _PREF_o _N_licenciranje _PRO_koji _V_biti,_N_ugovor _PREF_o _N_licenciranje,_NOUN_license_NOUN_agreement,0,1
_A_informacijski _N_preopterećenje _PREF_iz,_A_informacijski _N_preopterećenje,_A_informacijski _N_preopterećenje,_NOUN_information_VERB_overload,1,1
_A_binarni _N_pretraživanje,_A_binarni _N_pretraživanje,_A_binarni _N_pretraživanje,_ADJ_binary_NOUN_search,0,1
_A_programski _N_jezik,_A_programski _N_jezik,_PRO_sam _A_programski _N_jezik,_NOUN_programming_NOUN_language,0,1
_A_vrli _A_kratak _N_novela,_A_vrli _A_kratak _N_novela,_A_vrli _A_kratak _N_novela,_ADJ_short_NOUN_novel,0,0
_PREF_za _N_predstavljanje _N_tekst _PREF_i,_PREF_za _N_predstavljanje _N_tekst,_N_predstavljanje _N_tekst,_NOUN_text_NOUN_representation,1,1
_A_informacioni _N_tehnologija _PREF_i _PRO_njihov _N_razvoj,_A_informacioni _N_tehnologija _PREF_i _PRO_njihov _N_razvoj _PRO_koji,_N_razvoj _A_informacioni _N_tehnologija,_NOUN_information_NOUN_technology,0,0
_A_ograničen _N_pristup,_A_ograničen _N_pristup,_A_ograničen _N_pristup,_VERB_restricted_NOUN_access,0,1
_N_rečnik _A_ličan _N_ime _PREF_u,_N_rečnik _A_ličan _N_ime,_N_rečnik _A_ličan _N_ime,_ADJ_dictionary_ADP_of_ADJ_personal_NOUN_name_NOUN_dictionary,1,0
_A_dablinski _N_jezgra _PREF_su,_PREF_i _A_dablinski _N_jezgra,_A_dablinski _N_jezgra,_NOUN_dublin_NOUN_core,1,1
_N_kriterijum _PREF_za _N_izbor,_N_kriterijum _PREF_za _N_izbor,_N_izbor _N_kriterijum,_NOUN_selection_NOUN_criterion,0,0
_N_metod _N_identifikacija,_N_metod _N_identifikacija,_N_metod _N_identifikacija,_NOUN_method_ADP_for_NOUN_recognition,1,0
_A_ostali _N_korisnik _N_računar,_A_ostali _N_korisnik _N_računar,_A_ostali _N_korisnik _N_računar,_NOUN_user_PRT_'s_NOUN_computer,1,0
_A_konkretan _N_podatak,_A_konkretan _N_podatak,_A_konkretan _N_podatak,_ADJ_concrete_NOUN_data,1,1
_V_praviti _PREF_za _N_katalogizacija,_V_praviti _PREF_za _N_katalogizacija,_V_praviti _PREF_za _N_katalogizacija,_VERB_cataloguing_NOUN_rule,1,1
_N_ekvivalent _PREF_na _A_engleski _N_jezik _PREF_za,_N_ekvivalent _PREF_na _A_engleski _N_jezik,_N_ekvivalent _PREF_na _A_engleski _N_jezik,_ADJ_english_NOUN_equivalent,1,1
_V_ugovoriti _PREF_o _N_licenciranje _PRO_koji,_N_ugovor _PREF_o _N_licenciranje,_N_ugovor _PREF_o _N_licenciranje,_NOUN_license_NOUN_agreement,1,1
_N_konverzija metapodatka,_N_konverzija metapodatka _PREF_u,_N_konverzija metapodatka,_NOUN_conversion_ADP_of_NOUN_metadata,1,1
kao _PREF_i _N_obrada _A_ostali _N_segment,_PREF_i _N_obrada _A_ostali _N_segment,_N_obrada _A_ostali _N_segment,_NOUN_element,0,0
_PREF_za dvd _N_izdanje,dvd _N_izdanje _PREF_i,dvd _N_izdanje,_NOUN_DVD,1,0
_A_novinski _N_tekst,_A_novinski _N_tekst,_A_novinski _N_tekst,_NOUN_newspaper_NOUN_article,1,1
_A_prikazan _N_opis _N_dokument _PREF_na,_PRO_ona _A_prikazan _N_opis _N_dokument _PREF_na,_A_prikazan _N_opis _N_dokument,_NOUN_show,0,0
_A_anotiran _N_bibliografija,_A_anotiran _N_bibliografija,_A_anotiran _N_bibliografija,_VERB_annotated_NOUN_bibliography,0,1
_N_internet _N_stranica,_N_internet _N_stranica _PREF_i _PREF_po,_N_internet _N_stranica,_NOUN_web_NOUN_page,1,1
_N_projektovanje _N_sistem,_N_projektovanje _N_sistem,_N_projektovanje _N_sistem,_NOUN_design_ADP_of_NOUN_system,1,0
_N_lokacija _PREF_za _A_društven _N_umrežavanje,_N_lokacija _PREF_za _A_društven _N_umrežavanje,_N_lokacija _PREF_za _A_društven _N_umrežavanje,_ADJ_social_NOUN_networking_NOUN_site,1,1
_V_dati _PRO_ona _A_ljudski _N_život,_PRO_ona _A_ljudski _N_život,_A_ljudski _N_život,_NOUN_human_NOUN_life,1,1
_N_kvalitet _N_usluga,_N_kvalitet _N_usluga,_N_kvalitet _N_usluga,_NOUN_service,0,0
_N_program _N_bis a,_N_program _N_bis a,_N_program _PREF_za _N_bis,_NOUN_curriculum_ADP_of_NOUN_li,1,0
_N_tržište _A_rad _PRO_njihov,_V_hteti _PREF_na _N_tržište _A_rad _PRO_njihov,_N_tržište _A_rad,_NOUN_labor_NOUN_market,1,1
_A_elektronski _N_publikacija,_A_elektronski _N_publikacija _PREF_i,_A_elektronski _N_publikacija,_ADJ_electronic_NOUN_publication,1,1
_N_autor _PREF_iz srbije,_N_autor _PREF_iz srbije,srbije _N_autor,_NOUN_author_ADP_from_NOUN_serbia,1,0
_A_kreiran _N_tabela,_A_kreiran _N_tabela,_A_kreiran _N_tabela,_NOUN_data_VERB_table,1,0
_N_kriterijum _PREF_za _N_izbor,_N_kriterijum _PREF_za _N_izbor,_N_izbor _N_kriterijum,_NOUN_criterion_ADP_for_NOUN_selection,1,0
_A_matični _N_organizacija _PREF_i,_A_matični _N_organizacija ili _PREF_su _PREF_u,_A_matični _N_organizacija,_NOUN_parent_NOUN_organization,0,1
_A_originalan _N_verzija _A_rad,_A_originalan _N_verzija _A_rad,_A_originalan _N_verzija _A_rad,_ADJ_original_NOUN_paper,1,0
_A_mobilan _N_učenje,_A_mobilan _N_učenje,_A_mobilan _N_učenje,_VERB_learning,0,0
_A_elektronski _N_zbirka,_PREF_i _A_elektronski _N_zbirka,_A_elektronski _N_zbirka,_ADJ_electronic_NOUN_collection,0,1
_N_oblik _N_nominativ,_N_oblik _N_nominativ,_N_oblik _N_nominativ,_NOUN_form_ADP_in_ADJ_nominative,1,0
_PREF_i _A_budući _N_saradnik,_PREF_i _A_budući _N_saradnik _PREF_i,_A_budući _N_saradnik,_NOUN_collaborator,0,0
_A_izvoran _N_jezik,_A_izvoran _N_jezik,_A_izvoran _N_jezik,_ADJ_original,0,0
_PREF_i _PREF_uz _N_provera _N_kvalitet _A_obavljen _N_zadatak,_PREF_i _PREF_uz _N_provera _N_kvalitet _A_obavljen _N_zadatak,_N_provera _N_kvalitet _A_obavljen _N_zadatak,_NOUN_quality_NOUN_control,1,0
_A_počasni _A_člani _PREF_i,_A_počasni _A_člani,_A_počasni _A_člani,_ADJ_honorary_NOUN_member,0,1
_PREF_za _N_tekst _PREF_na _A_različit _N_jezik,_N_tekst _PREF_na _A_različit _N_jezik,_N_tekst _PREF_na _A_različit _N_jezik,_NOUN_text_ADP_in_ADJ_different_NOUN_language,1,1
inter _N_operativnost sa,inter _N_operativnost,inter _N_operativnost,_NOUN_interoperability,0,0
_N_lokalizacija _A_operativan _N_sistem,_N_lokalizacija _A_operativan _N_sistem,_N_lokalizacija _A_operativan _N_sistem,_VERB_operating_NOUN_system,0,0
_PREF_i _A_doktorski _N_teza,_A_doktorski _N_teza,_A_doktorski _N_teza,_ADJ_doctoral_NOUN_thesis,0,1
sa _A_naučni _N_zvanje,_A_naučni _N_zvanje,_A_naučni _N_zvanje,_ADJ_scientific_NOUN_knowledge,1,0
_N_datoteka sa _N_ekstenzija,_N_datoteka sa _N_ekstenzija,_N_datoteka sa _N_ekstenzija,_NOUN_file_NOUN_extension,0,0
_A_nejednak _N_stepen _N_razvoj,_A_nejednak _N_stepen _N_razvoj,_A_nejednak _N_stepen _N_razvoj,_ADJ_unequal_NOUN_degree_ADP_of_NOUN_development,1,1
_A_nastavni _N_osoblje,_PREF_i _A_nastavni _N_osoblje,_N_osoblje _A_nastavni _N_osoblje,_NOUN_faculty_NOUN_staff,1,0
_A_međunarodan _N_časopis sa,_A_međunarodan _N_časopis,_A_međunarodan _N_časopis,_ADJ_international_ADJ_journal,1,1
_N_godina _A_kongresni _N_biblioteka,_N_godina _A_kongresni _N_biblioteka,_N_godina _A_kongresni _N_biblioteka,_NOUN_library_ADP_of_NOUN_congress,1,0
_A_istočni evropi _PRO_koji _PRO_ona,_A_istočni evropi _PRO_koji,_A_istočni evropi,_NOUN_eastern_NOUN_europe,1,1
_A_interdisciplinaran _N_istraživanje,_A_interdisciplinaran _N_istraživanje,_A_interdisciplinaran _N_istraživanje,_ADJ_interdisciplinary_NOUN_research,1,1
_A_napredan _N_pretraga,_A_napredan _N_pretraga,_A_napredan _N_pretraga,_VERB_advanced_NOUN_search,1,1
_N_biblioteka _N_izvor,_N_biblioteka _N_izvor,_N_izvor _N_biblioteka,_NOUN_library_NOUN_resource,0,0
_N_osoblje _N_biblioteka,_N_osoblje _N_biblioteka,_PRO_sam _N_osoblje _N_biblioteka,_NOUN_library_NOUN_staff,0,0
_PREF_i _N_čitalac _A_elektronski _N_knjiga,_PREF_i _N_čitalac _A_elektronski _N_knjiga,_N_čitalac _A_elektronski _N_knjiga,_NOUN_reader,0,0
_A_sadržinski _N_analiza,_A_sadržinski _N_analiza,_A_sadržinski _N_analiza,_NOUN_content_NOUN_analysis,1,1
_A_etiketiran _N_korpus _PREF_za _N_obučavanje,_A_etiketiran _N_korpus _PREF_za _N_obučavanje kao _PREF_i,_A_etiketiran _N_korpus _PREF_za _N_obučavanje,_VERB_annotated_NOUN_training_NOUN_corpus,1,1
_PRO_isti _N_način _A_završan _N_ocenjivanje,_PRO_isti _N_način _A_završan _N_ocenjivanje,_PRO_isti _N_način _A_završan _N_ocenjivanje,_NOUN_assessment,0,0
_A_lokalan _N_kolekcija sa,_A_lokalan _N_kolekcija,_A_lokalan _N_kolekcija,_ADJ_local_NOUN_collection,1,1
